"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"A1BG"	7.319	7.3038	7.2628	7.2684	7.2546	7.1502
"A1BG-AS1"	6.3418	6.4786	6.3113	6.3863	6.1198	6.0252
"A1CF"	4.0817	4.2027	3.977	4.0491	4.1193	4.148
"A2M"	4.5259	4.6201	4.5993	4.481	4.6837	4.7011
"A2M-AS1"	4.0687	4.0228	4.0954	4.2128	4.4853	4.441
"A2ML1"	3.8971	3.7385	3.7897	3.6946	3.8161	3.7479
"A2MP1"	4.8657	4.623	4.8573	4.7475	4.7464	4.9884
"A4GALT"	5.8701	5.6922	5.6526	5.5662	5.7379	5.6781
"A4GNT"	5.8532	5.6342	5.8835	5.4738	5.5692	5.3572
"AA06"	4.8358	4.7311	4.7916	4.805	4.7885	4.8465
"AAAS"	6.4714	6.3148	6.1933	6.8203	6.9812	6.8677
"AACS"	9.6175	9.5992	9.667	9.5804	9.6416	9.5625
"AACSP1"	3.3566	3.3511	3.4815	3.3837	3.3937	3.6059
"AADAC"	4.3967	4.2347	4.4516	4.2961	4.2537	4.2347
"AADACL2"	3.0051	3.1815	3.3811	3.1492	3.1412	3.1207
"AADACP1"	3.1285	3.3878	3.3083	3.3779	3.3344	3.31
"AADAT"	8.123	8.1884	8.1631	8.1781	8.1518	8.0472
"AAED1"	9.6805	9.6105	9.6718	10.0298	9.9938	9.9127
"AAGAB"	8.6931	8.6895	8.4879	8.1841	8.202	8.1047
"AAK1"	5.2336	5.1886	5.5915	5.2372	5.2895	5.2746
"AAMDC"	8.4318	8.4959	8.3974	9.2865	9.0914	9.0895
"AAMP"	11.4845	11.5693	11.4777	11.1013	11.1172	11.1111
"AANAT"	3.4542	3.6949	3.7456	3.7015	3.6899	3.6188
"AAR2"	9.3216	9.1599	9.2599	9.5097	9.3827	9.3765
"AARS"	10.1697	10.0994	10.1065	10.7242	10.6269	10.6066
"AARS2"	7.9553	7.9515	7.9611	8.8066	8.678	8.7497
"AASDH"	9.1473	9.1549	9.2383	9.4938	9.472	9.452
"AASDHPPT"	11.0567	11.1447	11.14	11.3418	11.37	11.3037
"AASS"	8.7818	8.7921	8.6589	8.4378	8.5306	8.3867
"AATBC"	3.8497	3.5395	3.8017	3.4325	3.729	3.5528
"AATF"	10.4179	10.4844	10.2438	9.9794	9.9804	9.8368
"AATK"	8.1566	8.3938	8.4252	8.0966	8.175	8.0663
"ABAT"	8.6194	8.6759	8.573	7.7896	7.9397	7.6045
"ABCA1"	4.4765	4.5329	4.6006	4.6716	4.4345	4.5266
"ABCA11P"	7.1164	7.1648	7.2017	7.3611	7.2506	7.2066
"ABCA12"	3.1272	3.181	3.0168	3.1729	3.2106	3.1154
"ABCA13"	2.8931	2.86	2.8487	2.8756	2.7955	2.7754
"ABCA17P"	6.9162	7.155	6.8448	6.4456	6.2422	6.3734
"ABCA2"	6.0779	6.0302	6.0197	6.0701	5.9261	6.1208
"ABCA3"	7.823	7.9534	8.0463	8.5107	8.5668	8.5846
"ABCA4"	4.7045	4.5318	4.6812	4.6347	4.7351	4.7831
"ABCA5"	5.6945	5.9683	5.8582	6.3342	6.2648	6.2261
"ABCA6"	3.4391	3.3652	3.6017	3.8796	3.5061	3.5061
"ABCA7"	7.4813	7.7386	7.6761	7.4308	7.3337	7.4649
"ABCA8"	3.8286	3.7798	3.6956	3.5556	3.5802	3.963
"ABCA9"	3.6752	3.4884	3.4513	3.5779	3.6636	3.3005
"ABCB1"	6.4944	6.5969	6.3978	6.0442	6.0098	5.9931
"ABCB10"	10.4859	10.4252	10.3956	10.9545	11.0473	11.1434
"ABCB11"	4.1054	3.9507	4.1031	3.8601	3.967	3.9977
"ABCB4"	5.0051	4.9818	5.006	4.8163	4.8637	4.7732
"ABCB5"	3.8719	3.7831	3.8383	3.7747	3.8182	3.8018
"ABCB6"	6.5971	6.5883	6.583	6.0946	6.2174	6.0571
"ABCB7"	9.9786	9.9009	10.0649	10.9159	10.7723	10.8418
"ABCB8"	6.8221	6.7504	6.7321	6.6391	6.7514	6.5579
"ABCB9"	5.5861	5.5708	5.5194	5.5904	5.5606	5.6771
"ABCC1"	8.722	8.7074	8.6138	8.5002	8.447	8.3995
"ABCC10"	9.3181	9.3945	9.365	8.7409	8.7937	8.8246
"ABCC11"	4.6177	4.5868	4.5429	4.4197	4.4978	4.4408
"ABCC12"	3.8157	4.044	3.727	3.9097	3.9138	3.877
"ABCC13"	3.8136	3.6012	3.7204	3.7071	3.7409	3.7671
"ABCC2"	4.8809	4.774	4.6794	4.5125	4.5825	4.3338
"ABCC3"	5.658	5.6154	5.5911	5.381	5.5865	5.5479
"ABCC4"	6.4164	6.3741	6.2779	6.4254	6.1646	5.9974
"ABCC5"	8.2234	8.2917	8.2227	8.8617	8.7827	8.8148
"ABCC6"	5.0739	4.8864	4.8705	5.0616	5.0756	5.1444
"ABCC6P1"	4.086	4.2871	4.123	4.3965	4.3102	4.1842
"ABCC8"	5.87	5.7939	5.7283	5.8007	5.6553	5.8524
"ABCC9"	4.0806	3.7606	3.989	4.0059	3.695	4.2161
"ABCD1"	6.1415	5.8259	5.9153	5.9486	5.9476	6.1016
"ABCD2"	2.9972	2.8213	2.9322	2.9203	3.0284	2.9195
"ABCD3"	9.7073	9.719	9.7436	9.5228	9.3537	9.3743
