Analysis Type:	PANTHER Overrepresentation Test (release 20160715)
Annotation Version and Release Date:	GO Ontology database  Released 2017-02-28
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Bonferroni correction:	true
Bonferroni count:	8204
GO biological process complete	Homo sapiens - REFLIST (20972)	upload_1 (453)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
ribosomal protein import into nucleus (GO:0006610)	8	7	.17	+	40.51	6.16E-06
protein refolding (GO:0042026)	20	8	.43	+	18.52	1.59E-04
NLS-bearing protein import into nucleus (GO:0006607)	22	8	.48	+	16.83	3.29E-04
regulation of inclusion body assembly (GO:0090083)	17	6	.37	+	16.34	1.98E-02
regulation of defense response to virus by virus (GO:0050690)	29	9	.63	+	14.37	1.79E-04
NADH regeneration (GO:0006735)	26	8	.56	+	14.24	1.16E-03
glucose catabolic process to pyruvate (GO:0061718)	26	8	.56	+	14.24	1.16E-03
canonical glycolysis (GO:0061621)	26	8	.56	+	14.24	1.16E-03
glycolytic process through glucose-6-phosphate (GO:0061620)	27	8	.58	+	13.72	1.54E-03
glycolytic process through fructose-6-phosphate (GO:0061615)	27	8	.58	+	13.72	1.54E-03
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	72	21	1.56	+	13.50	2.59E-13
gluconeogenesis (GO:0006094)	45	13	.97	+	13.37	3.19E-07
monosaccharide biosynthetic process (GO:0046364)	54	15	1.17	+	12.86	1.74E-08
glucose catabolic process (GO:0006007)	29	8	.63	+	12.77	2.63E-03
protein import into nucleus, translocation (GO:0000060)	29	8	.63	+	12.77	2.63E-03
hexose biosynthetic process (GO:0019319)	48	13	1.04	+	12.54	6.96E-07
actin-myosin filament sliding (GO:0033275)	38	10	.82	+	12.18	1.37E-04
muscle filament sliding (GO:0030049)	38	10	.82	+	12.18	1.37E-04
NADH metabolic process (GO:0006734)	35	9	.76	+	11.90	8.66E-04
ERBB2 signaling pathway (GO:0038128)	39	10	.84	+	11.87	1.74E-04
cellular response to epidermal growth factor stimulus (GO:0071364)	39	10	.84	+	11.87	1.74E-04
response to epidermal growth factor (GO:0070849)	43	11	.93	+	11.84	3.52E-05
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)	72	18	1.56	+	11.57	6.27E-10
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	81	20	1.75	+	11.43	3.24E-11
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)	77	19	1.66	+	11.42	1.60E-10
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)	73	18	1.58	+	11.42	7.88E-10
regulation of cellular amino acid metabolic process (GO:0006521)	61	15	1.32	+	11.38	9.43E-08
negative regulation of ubiquitin protein ligase activity (GO:1904667)	74	18	1.60	+	11.26	9.87E-10
negative regulation of cell cycle G2/M phase transition (GO:1902750)	83	20	1.79	+	11.16	5.07E-11
glycolytic process (GO:0006096)	39	9	.84	+	10.68	2.13E-03
ATP generation from ADP (GO:0006757)	40	9	.86	+	10.42	2.62E-03
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	40	9	.86	+	10.42	2.62E-03
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	76	17	1.64	+	10.36	1.75E-08
positive regulation of ubiquitin protein ligase activity (GO:1904668)	85	19	1.84	+	10.35	8.93E-10
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	81	18	1.75	+	10.29	4.38E-09
anaphase-promoting complex-dependent catabolic process (GO:0031145)	81	18	1.75	+	10.29	4.38E-09
astrocyte differentiation (GO:0048708)	41	9	.89	+	10.16	3.21E-03
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	101	22	2.18	+	10.08	1.69E-11
positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060)	92	20	1.99	+	10.06	3.33E-10
oligodendrocyte development (GO:0014003)	37	8	.80	+	10.01	1.59E-02
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	79	17	1.71	+	9.96	3.19E-08
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	79	17	1.71	+	9.96	3.19E-08
regulation of ubiquitin protein ligase activity (GO:1904666)	89	19	1.92	+	9.88	1.98E-09
NIK/NF-kappaB signaling (GO:0038061)	85	18	1.84	+	9.80	9.64E-09
